canonicalsmiles,smiles,inchikey,molecularweight
C1C=C(N2C1CC2=O)C(=O)O,O=C(O)C1=CCC2CC(=O)N12,BSIMZHVOQZIAOY-UHFFFAOYSA-N,153.14
CC1(C(=O)N(C(=O)N1CO)CO)C,CC1(C)C(=O)N(CO)C(=O)N1CO,WSDISUOETYTPRL-UHFFFAOYSA-N,188.18
CC1(C2CCC1(C(C2)O)C)C,CC1(C)C2CCC1(C)C(O)C2,DTGKSKDOIYIVQL-ZCUBBSJVSA-N,154.25
C(C(C1C(=C(C(=O)O1)O)O)O)O,O=C1OC(C(O)CO)C(O)C1=O,CIWBSHSKHKDKBQ-MVHIGOERSA-N,176.12
C=CC1=CC=CC=C1,C=Cc1ccccc1,PPBRXRYQALVLMV-UHFFFAOYSA-N,104.15
COC1=C(C=C(C=C1)C(=O)O)OC,COc1ccc(C(=O)O)cc1OC,DAUAQNGYDSHRET-UHFFFAOYSA-N,182.17
CCN(CC)C(=O)N1CCN(CC1)C,CCN(CC)C(=O)N1CCN(C)CC1,RCKMWOKWVGPNJF-UHFFFAOYSA-N,199.29
CC1(C2CCC1(C(=O)C2)C)C,CC12CCC(CC1=O)C2(C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N,152.23
CC(C)(CC1=CC=C(C=C1)Cl)N,CC(C)(N)Cc1ccc(Cl)cc1,ZCKAMNXUHHNZLN-UHFFFAOYSA-N,183.68
C(C(C(C(C(CO)O)O)O)O)O,OCC(O)C(O)C(O)C(O)CO,FBPFZTCFMRRESA-ZXXMMSQZSA-N,182.17
C(CC(=O)O)CN=C(N)N,NC(N)=NCCCC(=O)O,TUHVEAJXIMEOSA-UHFFFAOYSA-N,145.16
CC(=C)C(=O)OCCN=C=O,C=C(C)C(=O)OCCN=C=O,RBQRWNWVPQDTJJ-UHFFFAOYSA-N,155.15
C1=CC=C2C(=C1)NC=N2,c1ccc2[nH]cnc2c1,HYZJCKYKOHLVJF-UHFFFAOYSA-N,118.14
C[N+](C)(C)CC(CC(=O)[O-])O,C[N+](C)(C)CC(O)CC(=O)[O-],PHIQHXFUZVPYII-ZCFIWIBFSA-N,161.2
C[N+](C)(C)CCOC(=O)N,C[N+](C)(C)CCOC(N)=O,VPJXQGSRWJZDOB-UHFFFAOYSA-O,147.2
C1=CNN=C1,c1cn[nH]c1,WTKZEGDFNFYCGP-UHFFFAOYSA-N,68.08
CC1(C2CCC1(C(C2)O)C)C,CC1(C)C2CCC1(C)C(O)C2,DTGKSKDOIYIVQL-KHQFGBGNSA-N,154.25
CC(C)CO,CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,74.12
